stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
167,1393,Grimmelfinger Weg,48.385486,9.965106,1
170,1099,SWU Betriebshof,48.396303,9.967702,2
171,1099,SWU Betriebshof,48.396381,9.968266,2
172,1022,Ensingerstraße,48.404544,9.988793,1
173,1023,Zeitblomstraße (Wendeanl.),48.402197,9.985725,2
174,1102,Loherstraße,48.432743,9.968714,1
175,1103,Junginger Straße,48.436601,9.972128,1
176,1103,Junginger Straße,48.436168,9.971652,1
177,1163,Rathaus Jungingen,48.442910,9.986620,1
178,1163,Rathaus Jungingen,48.442880,9.986650,1
179,1164,Schwarzenbergstraße,48.448864,9.986936,1
18,1656,Halde,48.334602,9.935149,2
180,1164,Schwarzenbergstraße,48.448720,9.985819,1
181,1165,Fichtenstraße,48.449328,9.991062,1
182,1165,Fichtenstraße,48.449432,9.990847,1
183,1166,Gehrnstraße,48.445879,9.992387,1
1839,1739,Donauklinik,48.393253,9.993492,1
184,1166,Gehrnstraße,48.445802,9.992387,1
185,1200,Eselsberg Hasenkopf,48.414307,9.963329,1
1869,1700,ZUP,48.391790,10.003200,1
187,1020,Stadtwerke,48.402572,9.986409,1
1873,4642,Bahnhof,48.305173,10.153345,1
188,1200,Eselsberg Hasenkopf,48.414310,9.962590,1
191,1202,Multscherschule,48.408658,9.967699,1
192,1202,Multscherschule,48.408384,9.968281,1
193,1210,Burgunderweg,48.408808,9.961352,1
194,1210,Burgunderweg,48.408727,9.961350,1
195,1218,Lupferbrücke,48.403578,9.956872,1
1954,1170,Edith-Stein-Ring,48.439817,9.992875,1
1955,1170,Edith-Stein-Ring,48.440003,9.993608,1
1956,1171,Margarete-Steiff-Straße,48.441433,9.996350,1
1957,1171,Margarete-Steiff-Straße,48.441747,9.996594,1
1958,1173,Auf dem Hart,48.439233,9.987594,1
1959,1173,Auf dem Hart,48.439029,9.986797,1
196,1218,Lupferbrücke,48.403571,9.956621,1
1960,1199,SWU Albstraße,48.439594,9.986608,2
1961,1131,Ulmer Steige,48.435384,9.944067,2
197,1220,Bahnhof Söflingen,48.403103,9.958610,2
1970,1745,Arena,48.381650,10.005640,1
1971,1745,Arena,48.382370,10.005770,1
198,1220,Bahnhof Söflingen,48.403065,9.959068,2
199,1222,Beringerbrücke,48.404655,9.966417,2
2,1001,Steinerne Brücke,48.397151,9.988641,1
200,1222,Beringerbrücke,48.404594,9.966340,2
201,1225,Bleicher Hag,48.406024,9.971880,2
202,1232,Lehrer Tal,48.406556,9.976148,1
203,1232,Lehrer Tal,48.406383,9.975497,1
204,1240,Universität Süd,48.422142,9.956944,1
2049,1012,Keplerstraße,48.405560,9.992612,1
205,1020,Stadtwerke,48.403100,9.986038,1
206,1240,Universität Süd,48.421839,9.956403,1
207,1240,Universität Süd,48.421935,9.956372,1
208,1241,Botanischer Garten,48.425073,9.956583,1
209,1241,Botanischer Garten,48.424679,9.956916,1
212,1245,Kliniken Wissenschaftsstadt,48.424132,9.951572,1
213,1245,Kliniken Wissenschaftsstadt,48.424080,9.951880,1
214,1246,Universität West,48.421961,9.947009,1
215,1246,Universität West,48.422110,9.947281,1
2156,1322,Leonberger Weg,48.391837,9.950197,2
2157,1331,Auf der Laue,48.395050,9.948840,1
216,1171,Manfred-Börner-Straße,48.419808,9.942683,1
217,1171,Manfred-Börner-Straße,48.419670,9.942766,1
218,1248,Hochschule,48.418752,9.938352,1
219,1248,Hochschule,48.418720,9.938351,1
2214,1391,Oberer Kuhberg,48.381842,9.953008,2
2215,1391,Oberer Kuhberg,48.381793,9.953039,2
222,1251,Kelternweg,48.413490,9.960160,2
223,1251,Kelternweg,48.413540,9.960270,2
224,1255,Heilmeyersteige,48.413896,9.950097,1
225,1255,Heilmeyersteige,48.413524,9.950754,1
226,1256,Virchowstraße,48.414109,9.946032,1
227,1256,Virchowstraße,48.414044,9.946147,1
2274,2728,Bahnhof Herrlingen,48.418464,9.897769,1
228,1257,Söflinger Weinberge,48.412356,9.941996,1
229,1257,Söflinger Weinberge,48.412212,9.942039,1
230,1258,Sonnenfeld,48.414131,9.937581,1
231,1258,Sonnenfeld,48.414142,9.937269,1
232,1260,Ruländerweg,48.408360,9.955980,1
2326,1022,Ensingerstraße,48.404500,9.988370,1
233,1260,Ruländerweg,48.408320,9.955960,1
2338,1396,Lindenhöhe,48.376720,9.947190,1
2339,1396,Lindenhöhe,48.376940,9.947440,1
234,1020,Stadtwerke,48.403573,9.985834,1
235,1253,Harthauser Straße,48.397000,9.932498,2
2352,1383,Gewerbeschulen Königstraße,48.385164,9.960690,1
2353,1000,ZOB Ost,48.397390,9.983630,1
236,1261,Traminerweg,48.411450,9.957080,1
237,1261,Traminerweg,48.411510,9.957070,1
238,1265,Veltlinerweg,48.409870,9.950190,1
239,1265,Veltlinerweg,48.409840,9.951350,1
240,1266,Ehrensteiner Feld,48.411379,9.948488,1
241,1266,Ehrensteiner Feld,48.411199,9.947832,1
2412,1000,ZOB Ost,48.397320,9.983930,1
2413,1000,ZOB Ost,48.397250,9.983930,1
2414,1000,ZOB Ost,48.397160,9.983930,1
242,1280,Beim Türmle,48.407823,9.955934,1
243,1280,Beim Türmle,48.407597,9.955921,1
2436,1390,Kuhberg Schulzentrum,48.383830,9.955690,1
2437,1390,Kuhberg Schulzentrum,48.383820,9.956180,1
244,1253,Harthauser Straße,48.397043,9.932612,2
2440,1087,Egertweg,48.425861,10.012273,1
245,1452,Schönstatt-Kapelle,48.395340,9.925120,2
248,1297,Sulzbachweg,48.389013,9.959686,2
249,1297,Sulzbachweg,48.388938,9.959651,2
250,1299,Sedanstraße,48.392198,9.960298,2
251,1299,Sedanstraße,48.392153,9.960267,2
252,1300,Söflingen,48.394850,9.955010,1
254,1300,Söflingen,48.394936,9.955188,1
255,1300,Söflingen,48.395338,9.954666,1
256,1301,Ottiliengasse,48.396857,9.955635,1
257,1301,Ottiliengasse,48.396684,9.955511,1
258,1310,Sonnenstraße,48.394712,9.958467,1
259,1310,Sonnenstraße,48.394590,9.957770,1
260,1310,Sonnenstraße,48.394590,9.957770,1
261,1310,Sonnenstraße,48.394712,9.958467,1
262,1310,Sonnenstraße,48.394510,9.956645,1
263,1311,Königstraße,48.394531,9.961094,1
264,1311,Königstraße,48.394461,9.961231,1
265,1311,Königstraße,48.394461,9.961231,1
266,1311,Königstraße,48.394531,9.961094,1
269,1321,Schongauer Weg,48.393477,9.948412,2
270,1321,Schongauer Weg,48.393420,9.948500,2
271,1322,Leonberger Weg,48.391824,9.949445,2
272,1322,Leonberger Weg,48.391870,9.949520,2
273,1323,Gleißelstetten,48.388069,9.947975,2
274,1323,Gleißelstetten,48.387754,9.947096,2
275,1329,Oberer Roter Berg,48.401420,9.935336,2
276,1332,Maienweg,48.389757,9.948611,2
277,1332,Maienweg,48.389657,9.948664,2
278,1333,Torstraße,48.395228,9.951881,2
279,1333,Torstraße,48.395117,9.951883,2
280,1339,Am Roten Berg,48.401091,9.939599,2
281,1339,Am Roten Berg,48.400813,9.940464,2
282,1340,Riedwiesenweg,48.401851,9.945140,2
283,1340,Riedwiesenweg,48.401768,9.945473,2
284,1341,St.-Jakob-Straße,48.400850,9.949299,2
285,1341,St.-Jakob-Straße,48.400461,9.950060,2
286,1342,Clarissenstraße,48.398951,9.953292,2
287,1342,Clarissenstraße,48.398866,9.953354,2
289,1349,Jägerstraße,48.400168,9.955649,2
290,1349,Jägerstraße,48.400131,9.955502,2
291,1350,Ehinger Tor,48.394682,9.981006,1
292,1350,Ehinger Tor,48.394696,9.981074,1
293,1350,Ehinger Tor,48.394696,9.981074,1
294,1350,Ehinger Tor,48.394682,9.981006,1
295,1350,Ehinger Tor,48.394710,9.981210,1
296,1350,Ehinger Tor,48.394780,9.980820,1
298,1351,Blücherstraße,48.393846,9.973695,1
299,1351,Blücherstraße,48.393850,9.972980,1
3,1002,Rathaus Ulm,48.397517,9.992864,1
300,1351,Blücherstraße,48.393850,9.972980,1
301,1351,Blücherstraße,48.393846,9.973695,1
302,1352,Theodor-Heuss-Platz,48.394781,9.968377,1
303,1352,Theodor-Heuss-Platz,48.394670,9.968450,1
304,1352,Theodor-Heuss-Platz,48.394670,9.968450,1
305,1352,Theodor-Heuss-Platz,48.394781,9.968377,1
306,1352,Theodor-Heuss-Platz,48.394887,9.968630,1
308,1353,Magirusstraße,48.394443,9.964743,1
309,1353,Magirusstraße,48.394410,9.963870,1
310,1353,Magirusstraße,48.394410,9.963870,1
311,1353,Magirusstraße,48.394443,9.964743,1
312,1354,Blautal-Center,48.400600,9.961730,1
313,1354,Blautal-Center,48.400447,9.961557,1
314,1354,Blautal-Center,48.400324,9.960533,1
317,1359,Haßlerstraße,48.389324,9.978621,1
318,1359,Haßlerstraße,48.388459,9.978067,1
319,1360,Römerplatz,48.389940,9.974001,1
320,1360,Römerplatz,48.390080,9.974080,1
322,1366,Beim B'scheid,48.401820,9.973913,1
323,1366,Beim B'scheid,48.401743,9.974054,1
324,1367,Auf der Gölde,48.400692,9.968199,1
325,1367,Auf der Gölde,48.400427,9.966807,1
326,1380,Saarlandstraße,48.388021,9.970767,1
3260,1087,Egertweg,48.425830,10.012430,1
327,1380,Saarlandstraße,48.387928,9.970362,1
332,1383,Gewerbeschulen Königstraße,48.384500,9.960220,1
333,1383,Gewerbeschulen Königstraße,48.384460,9.959639,1
334,1390,Kuhberg Schulzentrum,48.383820,9.954930,1
335,1390,Kuhberg Schulzentrum,48.383830,9.955300,1
3361,1540,Hans-Lorenser-Straße,48.356597,9.944231,2
341,1395,Barbaralinde,48.379300,9.950470,1
342,1395,Barbaralinde,48.379080,9.950060,1
343,1400,Rathausstraße,48.371920,9.936376,2
344,1400,Rathausstraße,48.371880,9.935899,2
345,1401,Häberlinweg,48.373096,9.941073,2
346,1401,Häberlinweg,48.373129,9.940979,2
347,1403,Eisenbahnstraße,48.370416,9.937003,2
348,1403,Eisenbahnstraße,48.370176,9.937086,2
349,1404,Haltepunkt Donautal,48.367124,9.939834,1
350,1404,Haltepunkt Donautal,48.366989,9.939766,1
351,1500,Steinbeisstraße,48.368598,9.953390,2
352,1500,Steinbeisstraße,48.368520,9.953326,2
353,1501,Liststraße,48.369688,9.949109,2
354,1501,Liststraße,48.369651,9.949060,2
355,1502,Daimlerstraße,48.367117,9.952982,2
3557,1390,Kuhberg Schulzentrum,48.383775,9.955289,1
3558,1383,Gewerbeschulen Königstraße,48.384668,9.960377,1
