route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,62,1022,,,,,,,
10,53,10222,,,,,,,
10,53,10223,,,,,,,
10,53,10224,,,,,,,
10,53,10225,,,,,,,
10,53,10226,,,,,,,
10,53,10227,,,,,,,
10,53,10228,,,,,,,
10,53,10229,,,,,,,
4,62,1023,,,,,,,
10,53,10230,,,,,,,
10,53,10231,,,,,,,
10,53,10232,,,,,,,
10,53,10233,,,,,,,
10,53,10234,,,,,,,
10,53,10235,,,,,,,
10,53,10236,,,,,,,
10,53,10237,,,,,,,
10,53,10238,,,,,,,
10,53,10239,,,,,,,
4,62,1024,,,,,,,
10,53,10240,,,,,,,
10,53,10241,,,,,,,
10,53,10242,,,,,,,
10,53,10243,,,,,,,
10,53,10244,,,,,,,
10,53,10245,,,,,,,
10,53,10246,,,,,,,
10,53,10247,,,,,,,
4,62,1025,,,,,,,
10,53,10250,,,,,,,
10,53,10251,,,,,,,
10,53,10252,,,,,,,
10,53,10253,,,,,,,
10,53,10254,,,,,,,
10,53,10255,,,,,,,
10,53,10256,,,,,,,
10,53,10257,,,,,,,
10,53,10258,,,,,,,
10,53,10259,,,,,,,
4,62,1026,,,,,,,
10,53,10260,,,,,,,
10,53,10261,,,,,,,
10,53,10262,,,,,,,
10,53,10263,,,,,,,
10,53,10264,,,,,,,
10,53,10265,,,,,,,
10,53,10266,,,,,,,
10,53,10267,,,,,,,
10,53,10268,,,,,,,
10,53,10269,,,,,,,
4,62,1027,,,,,,,
10,53,10270,,,,,,,
10,53,10273,,,,,,,
10,53,10274,,,,,,,
10,53,10275,,,,,,,
10,53,10276,,,,,,,
10,53,10277,,,,,,,
10,53,10278,,,,,,,
10,53,10279,,,,,,,
10,53,10280,,,,,,,
10,53,10281,,,,,,,
10,53,10282,,,,,,,
10,53,10283,,,,,,,
10,53,10284,,,,,,,
10,53,10285,,,,,,,
10,53,10286,,,,,,,
10,53,10287,,,,,,,
10,53,10288,,,,,,,
10,53,10289,,,,,,,
10,53,10290,,,,,,,
10,53,10291,,,,,,,
10,53,10292,,,,,,,
14,53,10295,,,,,,,
14,53,10296,,,,,,,
14,53,10297,,,,,,,
14,53,10298,,,,,,,
14,53,10299,,,,,,,
4,61,103,,,,,,,
4,62,1030,,,,,,,
14,53,10300,,,,,,,
14,53,10301,,,,,,,
14,53,10304,,,,,,,
14,53,10305,,,,,,,
14,53,10306,,,,,,,
14,53,10307,,,,,,,
14,53,10308,,,,,,,
14,53,10309,,,,,,,
4,62,1031,,,,,,,
14,53,10310,,,,,,,
14,53,10313,,,,,,,
14,53,10314,,,,,,,
14,53,10315,,,,,,,
14,53,10316,,,,,,,
14,53,10317,,,,,,,
14,53,10318,,,,,,,
14,53,10319,,,,,,,
4,62,1032,,,,,,,
14,53,10320,,,,,,,
14,53,10321,,,,,,,
14,53,10322,,,,,,,
14,53,10323,,,,,,,
14,53,10324,,,,,,,
14,53,10327,,,,,,,
14,53,10328,,,,,,,
14,53,10329,,,,,,,
4,62,1033,,,,,,,
14,53,10330,,,,,,,
14,53,10331,,,,,,,
14,53,10332,,,,,,,
14,53,10333,,,,,,,
14,53,10334,,,,,,,
14,53,10335,,,,,,,
14,53,10336,,,,,,,
14,53,10337,,,,,,,
14,53,10338,,,,,,,
14,53,10339,,,,,,,
4,62,1034,,,,,,,
15,53,10342,,,,,,,
15,53,10343,,,,,,,
15,53,10344,,,,,,,
15,53,10345,,,,,,,
15,53,10346,,,,,,,
15,53,10347,,,,,,,
